Text,Language
"В Википедии должна отражаться информация, которая уже установлена и признана[24].",Russian
"Иными словами, статья не должна быть «площадкой» для размещения чьих бы то ни было собственных идей, теорий, исследований, изобретений, личных мнений, оценок чего бы то ни было, искусствоведческой критики и т. п. Информация в статьях, которая, скорее всего, будет поставлена под сомнение, требует ссылок на авторитетные источники.",Russian
"Сообщество Википедии сформулировало это как «проверяемость, а не истина», выражая тем самым ту мысль, что читателям предоставляется возможность самим проверить истинность той информации, которая представлена в статьях, и сделать свои собственные выводы[25].",Russian
Википедия не становится на чью-либо сторону[26].,Russian
"В рамках статьи Википедии все мнения и точки зрения должны иметь соответствующую долю освещения по данному вопросу, если они имеют свои подтверждения во внешних источниках[27].",Russian
"Все участники, зарегистрированы они на проекте или нет, могут пользоваться функциями программного обеспечения, на котором работает Википедия.",Russian
"Так, на странице «История», прилагающейся к каждой статье Википедии, доступны записи каждой предыдущей редакции статьи (версии с угрозами криминального характера, нарушениями авторских прав и т. п. могут быть скрыты от просмотра[комм.",Russian
4]).,Russian
"Эта функция позволяет легко сравнить нынешнюю и более старые версии статьи, отменить изменения («откатить статью»), которые участник посчитает неверными, или восстановить потерянное содержимое.",Russian
"Страница «Обсуждение», прилагающаяся к каждой статье Википедии, используется в целях координации работы над текстом этой статьи между разными участниками проекта[28].",Russian
"Постоянные участники нередко используют «Список наблюдения», в который заносят интересные для себя статьи и, таким образом, могут легко отслеживать все недавние изменения в этих статьях.",Russian
"Компьютерные программы, называемые ботами, в Википедии широко используются для удаления вандализма, как только он был произведён[21], а также для исправления общих ошибок и стилистических проблем или создания статей, например, о географических объектах или биологических видах в стандартном формате из статистических данных.",Russian
"Википедия началась как дополнительный проект для «Нупедии» — бесплатного англоязычного энциклопедического онлайн-проекта, чьи статьи были написаны специалистами и рецензированы в рамках формального процесса.",Russian
"«Нупедия» была основана 9 марта 2000 года как собственность Bomis, Inc. — компании, владеющей одноимённым веб-порталом.",Russian
"Ключевыми фигурами были Джимми Уэйлс, CEO Bomis и Ларри Сэнгер, главный редактор «Нупедии», а затем Википедии.",Russian
"«Нупедия», первоначально лицензированная в соответствии со своей лицензией Nupedia Open Content License, перешла на GNU Free Documentation License перед основанием Википедии по настоянию Ричарда Столлмана[29].",Russian
Основатели Википедии — Ларри Сэнгер и Джимми Уэйлс[30][31].,Russian
"В то время как Уэйлсу приписывается определение цели создания публично редактируемой энциклопедии[32][33], Сэнгеру обычно приписывают контринтуитивную стратегию использования вики для достижения этой цели[34].",Russian
"10 января 2001 года Ларри Сэнгер в списке рассылки «Нупедии» предложил применить концепцию «вики» в отношении «Нупедии»[35], чтобы ускорить её развитие.",Russian
"Это привело к созданию веб-сайта Википедии, которая изначально задумывалась для предварительной разработки материалов, которые потом были бы размещены в «Нупедии».",Russian
Название «Википедия» также было предложено Ларри Сэнгером[31].,Russian
Википедия была официально открыта 15 января 2001 года как одиночный англоязычный раздел на www.wikipedia.com[36] и была анонсирована Сэнгером в списке рассылки «Нупедии»[32].,Russian
Политика «нейтральной точки зрения» в Википедии[37] была введена в первые месяцы и была аналогична ранней политике «непредубеждения» в «Нупедии».,Russian
"В других отношениях, первоначально существовало относительно немного правил, и Википедия управлялась независимо от «Нупедии»[32].",Russian
"Википедия получила ранних участников из «Нупедии», сообщений на Slashdot и за счёт индексации поисковыми машинами.",Russian
Она выросла до примерно 20 000 статей и 18 языковых разделов к концу 2001 года.,Russian
"К концу 2002 года она достигла 26 языковых разделов, 46 к концу 2003 года и 161 к последним дням 2004 года[38].",Russian
"«Нупедия» и Википедия сосуществовали, пока серверы первой не были навсегда отключены в 2003 году (текст «Нупедии» был включён в Википедию).",Russian
"Английская Википедия прошла отметку в 2 млн статей 9 сентября 2007 года, что делает её крупнейшей энциклопедией, собравшей всё и затмившей даже энциклопедию Юнлэ (1407), которая держала рекорд ровно 600 лет[39].",Russian
"Ссылаясь на опасения по поводу коммерческой рекламы и отсутствие контроля в осознанном англоцентризме Википедии, пользователи испанской Википедии выделились из Википедии для создания Enciclopedia Libre в феврале 2002 года[40].",Russian
"Позднее в том же году Уэйлс объявил о том, что Википедия не будет отображать рекламу, и её веб-сайт был перемещён на wikipedia.org[41].",Russian
Некоторые другие проекты выделились из Википедии по редакционным причинам.,Russian
Wikinfo не требует нейтральной точки зрения и разрешает оригинальные исследования.,Russian
"Новые проекты, вдохновлённые Википедией, — такие, как Citizendium, Scholarpedia, Conservapedia и Google Knol[42], — были начаты в ответ на осознание ограничений Википедии, таких, как политика в области рецензирования, оригинальных исследований и коммерческой рекламы.",Russian
Фонд Викимедиа (англ.,Russian
Wikimedia Foundation) был создан из Википедии и «Нупедии» 20 июня 2003 года[43].,Russian
Он использовался в United States Patent and Trademark Office для регистрации товарного знака «Wikipedia» 17 сентября 2004 года.,Russian
10 января 2006 года знаку был предоставлен зарегистрированный статус.,Russian
"16 декабря 2004 года товарный знак получил защиту со стороны Японии, 20 января 2005 года — в Европейском союзе.",Russian
"Существуют планы лицензирования торговой марки Википедии для некоторых продуктов, таких, как книги и DVD[44].",Russian
В ноябре 2015 года Википедия получила Премию Эразма[45].,Russian
Пользователи Википедии — это: Участники Википедии образуют сообщество участников Википедии.,Russian
"Структура этого сообщества — иерархическая, то есть это своего рода структура власти[46][47].",Russian
"Участники Википедии с хорошей репутацией в сообществе могут баллотироваться на один из многих уровней добровольного руководства; это начинается с «администратора»[48], самой большой группы привилегированных пользователей (1594 учётных записей в английской Википедии, по состоянию на 30 сентября 2008 года), которые имеют возможность удаления страниц, блокировки статей от изменений в случае вандализма или редакторских споров и блокировки участников.",Russian
"Несмотря на название, администраторы не имеют никаких особенных привилегий в процессе принятия решений, и им запрещено использовать свои полномочия для урегулирования споров.",Russian
"Роли администраторов часто описываются как «уборка» и в основном ограничиваются внесением правок, имеющих эффект в масштабах всего проекта (и поэтому запрещённых для обычных редакторов, чтобы минимизировать нарушения), а также блокировкой пользователей для предотвращения разрушительных правок, таких как вандализм.",Russian
"Поскольку Википедия развивается на основе нетрадиционной модели составления энциклопедии, вопрос «Кто пишет „Википедию“?» стал одним из наиболее часто задаваемых вопросов по проекту, часто со ссылкой на другие проекты Веб 2.0, такие как Digg[49] или, например, News2 и Хабрахабр.",Russian
"Джимми Уэйлс однажды утверждал, что только «сообщество… преданная группа нескольких сотен добровольцев» делает основной вклад в Википедию и что этот проект является поэтому «очень похожим на любую традиционную организацию».",Russian
"Это было позже оспорено Аароном Шварцем, который отметил, что ряд просмотренных им статей имели крупные части содержания, внесёнными участниками с малым количеством правок[50].",Russian
"Исследование учёных из Дартмутского колледжа, проведённое в 2007 году, установило, что анонимы и те пользователи, которые редко делают вклад в Википедию, являются таким же надёжным источником знаний, как и те, которые зарегистрированы на сайте[51].",Russian
"Хотя некоторые участники сильны в своей области, Википедия требует, чтобы даже их вклады были подкреплены опубликованными и поддающимися проверке источниками.",Russian
Это предпочтение консенсуса наличию образования было отмечено как «антиэлитарность»[52].,Russian
"В августе 2007 года сайт, разработанный аспирантом по компьютерным наукам Вирджилом Гриффитом и названный WikiScanner, начал публичное функционирование.",Russian
"WikiScanner прослеживает источники миллионов изменений, произведённых в Википедии анонимными редакторами, и показывает, что многие из этих правок делаются из корпораций или правительственных учреждений в статьях, связанных с ними, их персоналом или их работой, из которых они пытаются удалить критику[53].",Russian
"В 2003 году в исследовании о Википедии как о сообществе студент  Andrea Ciffolilli утверждал, что низкие операционные затраты участия в вики создают катализатор для совместного развития и что подход «творческого развития» поощряет участие[54].",Russian
"В своей книге «Будущее Интернета и как его остановить» 2008 года Jonathan Zittrain из Оксфордского института Интернета и Berkman Center for Internet & Society Гарвардской школы права ссылается на Википедию как социологическое исследование в том, как открытое сотрудничество способствовало инноваторству в Сети[55].",Russian
"В 2007 году исследователь Одед Нов опубликовал работу о мотивации, которой руководствуются википедисты.",Russian
"Нов считает, что участники редактируют Википедию, исходя из следующих видов мотивации: защитной («когда я правлю „Википедию“, я чувствую себя не так одиноко»), желание внести вклад в общее дело («мне кажется, важно помогать другим»), мотивации карьеры («я могу получить новые контакты, которые могут помочь в моём бизнесе или карьере»), социальной, познавательной («написание „Википедии“ позволяет мне взглянуть на вещи по-новому»), желание быть кому-то нужным («когда я правлю „Википедию“, я чувствую себя востребованным»), потребность в положительных эмоциях («писать/править „Википедию“ — это весело»), идеологической[56].",Russian
"На 30 июня 2015 года существует 290 языковых разделов Википедии, из них 51 раздел содержит более 100 000 статей, а 237 — более 1000 статей[57].",Russian
Посещаемость разделов изменяется со временем.,Russian
К октябрю 2009 года русская Википедия вышла на 5-ю позицию в списке посещаемости.,Russian
По состоянию на август 2013 года русская Википедия находилась на 4-м месте.,Russian
"Первые 5 разделов в это время имели следующий процент посещений, от общего числа: английская — 60,7 %; испанская — 7,8 %; немецкая — 6,7 %; русская — 6,0 %; японская — 5,8 %[58].",Russian
"Википедия является сетевой энциклопедией, поэтому участники одного и того же языкового раздела могут использовать различные диалекты и могут быть из разных стран (как в случае с английским разделом).",Russian
Эти различия могут привести к некоторым конфликтам из-за различного написания слов (например color vs. colour)[59] или точек зрения[60].,Russian
"Несмотря на то, что различные языковые разделы придерживаются глобальной политики, такой как нейтральная точка зрения, они расходятся по некоторым вопросам политики и практики, особенно по вопросу, могут ли изображения, которые не лицензируются по свободной лицензии, использоваться согласно требованиям добросовестного использования[61][62][63].",Russian
Джимми Уэйлс описал Википедию как «усилия по созданию и распространению свободной энциклопедии самого высокого качества для каждого человека на планете на его собственном языке»[64].,Russian
"Несмотря на то, что функционирование каждого языкового раздела более или менее самостоятельно, предприняты некоторые усилия для контроля всех разделов.",Russian
"Они координируются частично Мета-вики, вики Фонда Викимедиа, посвящённой поддержанию всех его проектов (Википедия и др.).",Russian
"Например, Мета-вики предоставляет важную статистику всех языковых разделов Википедии и поддерживает список статей, которые должны быть во всех Википедиях.",Russian
"Список касается основного содержания таких предметов, как биография, история, география, общество, культура, наука, технология, продовольствие и математика.",Russian
"Что касается остального, то нередко для статей, тесно связанных с конкретным языком, нет копии в другом разделе.",Russian
"Например, статьи о малых городах США могут быть доступны только на английском.",Russian
"Переводные статьи представляют лишь небольшую долю статей в большинстве разделов, в частности потому, что автоматизированный перевод статей не разрешён[65].",Russian
"Статьи, доступные более чем на одном языке, могут иметь «интервики»-ссылки, которые связывают статьи с их копиями в других разделах.",Russian
Википедия не лишена недостатков.,Russian
"Прежде всего информация, тексты Википедии объективно подвержены системным отклонениям.",Russian
"Другими основными объектами критики Википедии являются: Критики Википедии указывают на то, что участники Википедии совместно пишут и пересматривают её правила, политики и руководства[67], а затем, зачастую чисто формально и очень негибко их придерживаясь, удаляют, аннотируя тегами комментариев, или изменяют материалы статей, формально не отвечающие этим правилам, политикам и руководствам (см.",Russian
также Википедия:Удализм и Википедия:Инклюзионизм[68][69]).,Russian
"Сообщество Википедии было также описано как «подобное культу»[70], хотя и не всегда с исключительно негативной коннотацией[71] и было раскритиковано за неспособность привлечь неопытных пользователей к работе в проекте[72].",Russian
"Также критики Википедии обращают внимание на системную предвзятость, несбалансированность в освещении тем[52], а также критикуют её политику предпочтения консенсуса между участниками профессионализму отдельных участников в редакционном процессе[73].",Russian
Открытый характер модели редактирования является центральным для большой части критики Википедии.,Russian
"Например, исходя из этого, можно упрекать Википедию в том, что читатель статьи не может быть уверен без ознакомления со страницей её «истории», была ли эта статья вандализирована.",Russian
"Критики утверждают, что редактирование статей неэкспертами подрывает качество представленного в статье материала.",Russian
"Поскольку участники обычно, как правило, переписывают или редактируют отдельные небольшие части статьи, а не всю её целиком, высоко- и низкокачественные материалы могут идти вперемешку в пределах одной статьи.",Russian
"Историк Рой Розенцвейг отметил: «В целом, написание является „ахиллесовой пятой“ Википедии.",Russian
"Комитеты редко пишут хорошо, и статьи Википедии часто имеют изменчивое качество, что является результатом связывания вместе предложений или абзацев, написанных разными людьми»[74].",Russian
Всё это привело к вопросу о надёжности Википедии в качестве источника достоверной информации.,Russian
"Модель Википедии позволяет редактировать её статьи всем желающим и полагается на большую группу благонамеренных редакторов в преодолении проблем, вызванных сомнительными редакторами.",Russian
"Она основана и на принципе, согласно которому подавляющее большинство участников Википедии предполагает добрые намерения.",Russian
Модели редактирования Википедии свойственна возможность добавления низкокачественной информации.,Russian
"Возможность анонимного редактирования может быть не только большим благом для проекта, но и источником некоторого вреда.",Russian
Википедия может подвергаться воздействию вандалов.,Russian
"Вандализм в Википедии — явно вредительское добавление, удаление или изменение содержания, совершённое умышленно в целях скомпрометировать достоверность и авторитетность энциклопедии.",Russian
"В основном вандализм проявляется в замене содержимого статей Википедии на ругательства, граффити, заведомо ложные данные или другое содержимое, абсолютно не имеющее отношения к теме статьи.",Russian
В случаях множественного вандализма к некоторым страницам Википедии может быть применена защита.,Russian
"Являясь общедоступным интернет-справочником, Википедия также содержит материалы, которые другие участники Википедии могут признать нежелательными, оскорбительными или порнографическими[75][76].",Russian
"Например, в 2008 году Википедия отклонила массовое онлайн-обращение против включения изображения Мухаммеда в её английский раздел, сославшись на свою редакционную политику.",Russian
"Наличие в Википедии материалов, «неудобных» с политической точки зрения, также побудило КНР заблокировать доступ к части Википедии для китайских пользователей[77] (см.",Russian
